date collected,field season,species,plot #,sex (m/f),weight (g),measurement device properly calibrated (y/n)

XXXX-03-11,2014,pf,3,m,8,y

XXXX-04-08,2014,na,3,f,null,na

XXXX-05-06,2014,null,3,null,null,na

XXXX-05-18,2014,na,3,f,182,y

XXXX-06-09,2014,ot,3,f,29,y

XXXX-07-08,2014,na,3,f,115,y

XXXX-07-08,2014,na,3,m,190,y

1978-01-08,2014,dm,4,f,37,y

1978-01-08,2014,dm,4,m,null,na

1978-01-08,2014,dm,4,f,48,y

1978-01-08,2014,do,4,m,52,y

1978-01-08,2014,ol,4,m,35,y

2013-07-16,2013,dm,2,f,null,na

2013-07-16,2013,dm,7,m,33,y

2013-07-16,2013,dm,3,m,null,na

2013-07-16,2013,dm,1,m,null,na

2013-07-18,2013,dm,3,m,40,y

2013-07-18,2013,dm,7,m,48,y

2013-07-18,2013,dm,4,f,29,y

2013-07-18,2013,dm,6,f,37,y

2013-08-19,2013,do,8,f,52,y

2013-10-17,2013,do,3,f,33,y

2013-10-17,2013,do,3,f,50,y

2013-12-10,2013,do,9,f,40,y

2013-12-10,2013,do,1,m,45,y

2013-12-11,2013,do,8,f,41,y

2013-11-12,2013,ds,9,f,117,y

2013-11-13,2013,ds,11,f,126,y

2013-11-13,2013,ds,17,m,132,n

2013-11-13,2013,ds,14,f,113,n

2013-11-13,2013,ds,11,f,122,y

2013-11-13,2013,ds,4,f,107,y

2013-11-13,2013,ds,4,f,115,y

2014-01-08,2014,na,2,null,null,na

2014-01-08,2014,dm,2,m,44,y

2014-01-08,2014,pf,2,f,7,y

2014-01-08,2014,dm,2,m,45,y

2014-01-08,2014,ot,2,null,null,na

2014-01-08,2014,ds,2,m,157,n

2014-01-08,2014,ox,2,null,null,na

2014-01-09,2014,dm,1,m,40,y

2014-01-09,2014,dm,1,f,36,y

2014-02-18,2014,NA,2,m,218,n

2014-02-18,2014,pf,2,f,7,y

2014-02-18,2014,dm,2,m,52,y

2014-03-13,2014,dm,1,f,51,y

2014-03-13,2014,dm,1,f,44,y

2014-03-13,2014,ds,1,f,146,y

